bs,num_layers,num_cont_batch_samples_per_layer,tvd,mape_percent,wape_percent,pred_expected_x,cont_expected_x,pred_p95,cont_p95,pred_spike_prob,cont_spike_prob
2,24,20000,0.04395438752924674,10.580157584221961,8.790877505849348,1.7496574135605008,1.705825,2,2,0.7497184005448738,0.705825
4,24,20000,0.03755245433266875,110.31734459569185,7.51049086653375,3.0457110601008743,2.9997375,4,4,0.29222738583841995,0.25971875
8,24,20000,0.02293564983398111,34.28280213338763,4.587129966796222,5.511944629139344,5.4719125,8,8,0.08887938643888824,0.08606458333333333
16,24,20000,0.01559114887227339,10.51162654968572,3.1182297744546785,10.347134408640963,10.295752083333332,15,15,0.017377300077636777,0.017333333333333333
32,24,20000,0.01385423311330697,16.02760214807364,2.770846622661394,19.950904669632955,19.89073125,29,29,0.0011946464164224937,0.00104375
64,24,16000,0.017873673760226163,14.587259565375676,3.5747347520452335,39.130958586345045,39.044648437499994,56,56,8.403120215041054e-06,2.6041666666666666e-06
128,24,12000,0.011987869187569371,5.39253004629194,2.397573837513874,77.5239937878753,77.45406597222222,112,112,5.45905242306984e-10,0.0
256,24,10000,0.015103614527202897,6.190448186473415,3.0207229054405795,154.40361447431235,154.36435416666666,222,222,4.625929269271493e-18,0.0
512,24,8000,0.020894251848390447,10.275887293597819,4.17885036967809,308.28825186379595,308.2455,442,442,0.0,0.0
1024,24,6000,0.029248226443620955,13.168010642371595,5.849645288724191,616.1569572990036,616.049548611111,883,883,0.0,0.0
